band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,1876042100.0,240482510.0,5589569500.0,3587.316,309.63705,6909.3687,45000.0,0.16,1.0,0.0083100692800929,0.0063984224173442,0.04144692803218608,0.14
5,1858724100.0,121153020.0,11724737000.0,16914.17,224.28973,9420.516,117000.0,0.17,1.3,0.0109932628325892,0.0039690102483117,0.04340002883610372,0.14
8,581904400.0,48291804.0,3909304600.0,18817.588,264.53467,9353.863,189000.0,0.18,1.5,0.0099463386154285,0.0031230403979095,0.0455598576512084,0.15
11,222086200.0,20019076.0,1202936000.0,9945.353,226.31027,8974.254,495000.0,0.18,1.2,0.0052596939226164,0.0019299803152697,0.03440057334875932,0.15
14,76867780.0,8024386.0,379660380.0,9404.7705,176.88164,8779.434,1134000.0,0.19,1.4,0.0062221100601007,0.0012751894232635,0.044068145643469,0.16
17,39563024.0,3834162.2,238763150.0,12449.052,150.09442,9078.725,2574000.0,0.19,1.0,0.0064581244748578,0.0008464353782179,0.034180937206993,0.16
20,11133688.0,2057098.8,53574584.0,8630.072,118.14964,8104.7036,5967000.0,0.19,0.7,0.0061515034165581,0.0005559445407404,0.028168072520366072,0.17
23,4838087.5,738155.9,33677428.0,16181.355,101.86641,8948.997,13887000.0,0.19,0.3,0.0100180376725071,0.0003644288842482,0.02173436402872414,0.18
26,1872608.2,178380.27,18100620.0,34272.58,90.40096,9587.513,31968000.0,0.21,0.3,0.0128712420753727,0.0002401951053511,0.01604190521159299,0.2
29,152766.14,22231.807,1074122.4,18183.148,100.81725,9029.527,73701000.0,0.21,-0.4,0.0157761416754094,0.0001581934199511,0.026585346449295444,0.24
32,10921.369,2385.951,62830.105,12942.957,90.52619,8327.545,59634000.0,0.27,-0.2,0.0151597725486764,0.0001758642001808,0.02270304485285843,0.28
