band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,157269.88,149264.115546875,165654.37648437504,2.019592929404322,1.4713488972830895,2.704435950580284,31800.0
5,83422.35,79257.1659375,87787.9315625,1.9039825295327724,1.2757834769653287,2.832161703489285,41340.0
8,45610.926,43328.33033203125,47969.34458984376,1.9376043106290473,1.3123015438002692,2.8375483275062785,66780.0
11,25793.922,24441.88783203125,27232.032421875003,2.370253207183583,1.3658777920827772,4.514506717870704,104940.0
14,14051.502,13346.594384765625,14808.06669433594,2.0892909846108916,1.2751458159178972,4.009897707978745,162180.0
17,7919.1426,7515.967126464844,8348.544077148437,2.151878615286189,1.2933547809303674,4.51329265157181,257580.0
20,4052.6973,3844.855645751953,4287.258894042969,2.416864364726531,1.276759486873233,9.097824510685847,381600.0
23,1979.6365,1878.4255895996093,2088.5791137695314,2.2481487435794323,1.3707933585696574,4.596757654938451,610560.0
26,868.0049,815.8723529052735,934.2968762207031,4.653831204791653,1.6947180855929826,18.998130446030796,973080.0
29,329.39447,302.999197845459,371.57484207153334,13.155253839187608,2.8388611532309307,66.0983641130641,1376940.0
32,44.476166,42.37670640945434,46.64084260940552,1.4597123142514201,1.0056721618923619,2.262222017059093,419760.0
