band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.28,6.2,0.004707835465340787,0.007610577267092261
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,0.29,6.1,0.0032607125633117295,0.006675487131142218
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.3,5.9,0.003498429501113079,0.005252925654717587
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.32,6.6,0.002497154991577877,0.004190789733660874
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.33,6.2,0.003441085279634215,0.0033713207320740964
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.34,5.6,0.002305786785657321,0.0026752851133031844
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.34,4.2,0.0026060886476839337,0.002198066092435259
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.37,4.5,0.0014687238644262024,0.0017377962858799252
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.39,3.7,0.001881494823355201,0.0013765848003003353
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.43,3.1,0.0015853747958501918,0.0011572531101864485
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.6,3.4,0.001457163400748085,0.0020957932105484973
