band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.28,6.2,0.0047078354653407,0.0076105772670922,0.0513851408465725,0.18,0.28,6.22,0.003787358999713053,0.28,6.22,0.003787358999713053,135831
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,0.29,6.1,0.0032607125633117,0.0066754871311422,0.068551261943214,0.18,0.29,6.09,0.0032096159684961156,0.29,6.09,0.0032096159684961156,176580
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.3,5.9,0.003498429501113,0.0052529256547175,0.0482499424979918,0.19,0.301,5.99,0.003302038358849013,0.301,5.99,0.003302038358849013,169036
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.32,6.6,0.0024971549915778,0.0041907897336608,0.0503175793869681,0.2,0.32,6.64,0.0022418420752871593,0.32,6.64,0.0022418420752871593,354172
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.33,6.2,0.0034410852796342,0.003371320732074,0.0585154138441529,0.21,0.331,6.25,0.0024085588972052596,0.331,6.25,0.0024085588972052596,307887
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.34,5.6,0.0023057867856573,0.0026752851133031,0.0559188830461623,0.21,0.339,5.55,0.0012450483049053496,0.339,5.55,0.0012450483049053496,1237777
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.34,4.2,0.0026060886476839,0.0021980660924352,0.0509467254750183,0.23,0.341,4.24,0.002003189355204299,0.341,4.24,0.002003189355204299,482962
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.37,4.5,0.0014687238644262,0.0017377962858799,0.0357598894040207,0.24,0.368,4.4,0.0013508789134137333,0.368,4.4,0.0013508789134137333,1030320
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.39,3.7,0.0018814948233552,0.0013765848003003,0.0321136456581778,0.26,0.392,3.78,0.0011280463553818842,0.392,3.78,0.0011280463553818842,1459620
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.43,3.1,0.0015853747958501,0.0011572531101864,0.0306632238123686,0.29,0.427,3.0,0.0014873511952644136,0.427,3.0,0.0014873511952644136,871344
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.6,3.4,0.001457163400748,0.0020957932105484,0.0273323843690809,0.38,0.596,3.3,0.0013348935401958917,0.596,3.3,0.0013348935401958917,1062517
